HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
CSKA Moscow, Galatasaray Odeabank Istanbul,FT,85,26,48,5,19,18,24,15,21,36,17,7,8,2,4,19,24,98,69,17,36,8,22,11,18,13,24,37,17,5,18,4,2,25,19,66,13,33,19,20,,,29,20,20,-69,,,13,46,65,85,,,29,49,69,,,
Fenerbahce Istanbul, Baskonia Vitoria Gasteiz,FT,74,18,31,8,26,14,19,8,20,28,15,10,12,2,3,19,22,81,79,19,34,10,23,11,16,11,24,35,16,7,15,3,2,22,19,87,18,17,20,19,,,43,18,18,-79,,,18,35,55,74,,,43,61,79,,,
Maccabi FOX Tel Aviv, EA7 Emporio Armani Milan,FT,92,28,48,8,20,12,19,11,25,36,25,8,9,4,0,19,21,119,82,19,43,10,23,14,18,12,26,38,22,3,12,0,4,21,19,86,26,25,19,22,,,35,26,21,-82,,,26,51,70,92,,,35,61,82,,,
Real Madrid, Crvena Zvezda mts Belgrade,FT,98,24,30,12,29,14,16,9,27,36,30,9,16,3,0,17,21,139,68,23,41,3,19,13,14,8,14,22,15,12,15,0,3,21,17,60,38,25,17,18,,,44,13,11,-68,,,38,63,80,98,,,44,57,68,,,
Zalgiris Kaunas, Panathinaikos Superfoods Athens,FT,64,15,34,9,23,7,10,8,24,32,18,4,10,3,3,18,19,73,58,19,38,3,18,11,13,10,26,36,16,7,11,3,3,19,18,69,9,10,15,30,,,31,10,17,-58,,,9,19,34,64,,,31,41,58,,,
Anadolu Efes Istanbul, Brose Bamberg,FT,68,18,45,6,26,14,23,14,19,33,13,7,6,6,2,20,23,66,87,27,43,9,13,6,14,5,37,42,22,4,12,2,6,24,20,107,23,9,13,23,,,42,22,23,-87,,,23,32,45,68,,,42,64,87,,,
FC Barcelona Lassa, Unics Kazan,FT,70,18,31,9,29,7,10,6,25,31,15,13,12,2,0,16,15,82,62,14,37,10,18,4,5,5,28,33,17,3,18,0,2,15,16,64,24,12,19,15,,,34,10,18,-62,,,24,36,55,70,,,34,44,62,,,
Olympiacos Piraeus, Darussafaka Dogus Istanbul,FT,81,24,38,5,19,18,23,9,26,35,21,5,12,6,2,22,22,101,73,26,50,2,20,15,19,17,21,38,9,5,10,2,6,22,22,65,25,23,21,12,,,33,25,15,-73,,,25,48,69,81,,,33,58,73,,,
Anadolu Efes Istanbul, Maccabi FOX Tel Aviv,FT,92,27,50,6,22,20,27,12,28,40,16,7,10,4,2,21,26,106,87,24,45,8,19,15,23,9,31,40,27,7,16,2,4,27,21,97,17,24,26,25,,,42,15,30,-87,,,17,41,67,92,,,42,57,87,,,
Brose Bamberg, Fenerbahce Istanbul,FT,78,17,40,8,23,20,23,8,22,30,15,6,8,1,8,24,21,70,83,17,28,10,23,19,24,2,29,31,14,4,14,8,1,21,22,97,21,17,18,22,,,42,26,15,-83,,,21,38,56,78,,,42,68,83,,,
